Type	LineID	dvariant_NB
NaN	NaN0659	59
NaN	NaN1898	45
NaN	NaN1157	42
NaN	NaN0965	48
NaN	NaN1336	43
NaN	NaN1637	7
NaN	NaN1603	21
NaN	NaN1663	32
NaN	NaN257	28
NaN	NaN0905	50
NaN	NaN1534	44
NaN	NaN0826	28
NaN	NaN299	43
NaN	NaN2234	46
NaN	NaN127	33
NaN	NaN1122	47
NaN	NaN77	11
NaN	NaN0039	19
NaN	NaN1057	18
NaN	NaN0615	41
NaN	NaN1395	37
NaN	NaN2111	39
NaN	NaN43	84
NaN	NaN248	37
NaN	NaN1549	5
NaN	NaN1259	23
NaN	NaN2213	57
NaN	NaN2098	51
NaN	NaN1763	47
NaN	NaN1811	31
NaN	NaN2086	81
NaN	NaN1513	35
NaN	NaN2249	38
NaN	NaN0565	21
NaN	NaN76	10
NaN	NaN1540	68
NaN	NaN1878	29
NaN	NaN1250	43
NaN	NaN0715	35
NaN	NaN1215	39
NaN	NaN0750	25
NaN	NaN259	11
NaN	NaN129	47
NaN	NaN1934	24
NaN	NaN297	6
NaN	NaN2198	9
NaN	NaN1737	7
NaN	NaN1703	61
NaN	NaN0759	72
NaN	NaN1375	17
NaN	NaN0630	34
NaN	NaN0834	20
NaN	NaN0661	25
NaN	NaN2165	46
NaN	NaN0947	24
NaN	NaN1417	47
NaN	NaN2005	16
NaN	NaN0015	26
NaN	NaN427	33
NaN	NaN0682	41
NaN	NaN0744	6
NaN	NaN0639	13
NaN	NaN1137	65
NaN	NaN1356	13
NaN	NaN1657	9
NaN	NaN0911	51
NaN	NaN1554	45
NaN	NaN1244	13
NaN	NaN1428	33
NaN	NaN2065	36
NaN	NaN0978	24
NaN	NaN0586	1
NaN	NaN1003	5
NaN	NaN2105	47
NaN	NaN1324	66
NaN	NaN0598	59
NaN	NaN1441	38
NaN	NaN0601	5
NaN	NaN1781	33
NaN	NaN403	26
NaN	NaN1328	37
NaN	NaN0594	63
NaN	NaN1221	44
NaN	NaN0974	23
NaN	NaN1512	23
NaN	NaN1099	63
NaN	NaN1341	38
NaN	NaN1424	44
NaN	NaN1558	58
NaN	NaN2212	56
NaN	NaN0777	56
NaN	NaN1762	37
NaN	NaN214	5
NaN	NaN1702	33
NaN	NaN1277	32
NaN	NaN1825	38
NaN	NaN1906	19
NaN	NaN441	23
NaN	NaN0748	25
NaN	NaN413	32
NaN	NaN52	7
NaN	NaN1456	38
NaN	NaN204	12
NaN	NaN0721	48
NaN	NaN1199	58
NaN	NaN0697	22
NaN	NaN0838	14
NaN	NaN1317	6
NaN	NaN0683	43
NaN	NAN357	13
NaN	NaN1790	17
NaN	NaN31	39
NaN	NaN0925	20
NaN	NaN0806	40
NaN	NaN1081	38
NaN	NaN1475	24
NaN	NaN2194	35
NaN	NaN484	2
NaN	NaN1938	63
NaN	NaN396	34
NaN	NaN1799	41
NaN	NaN283	24
NaN	NaN1670	50
NaN	NaN1181	24
NaN	NaN1874	30
NaN	NaN1002	34
NaN	NaN30	19
NaN	NaN0866	67
NaN	NaN1623	36
NaN	NaN175	11
NaN	NaN0021	11
NaN	NaN2094	39
NaN	NaN1985	18
NaN	NaN1084	36
NaN	NaN1827	40
NaN	NaN1275	36
NaN	NaN291	25
NaN	NaN0580	56
NaN	NaN0589	16
NaN	NaN260	15
NaN	NaN0695	4
NaN	NaN2191	44
NaN	NaN1993	34
NaN	NaN1529	20
NaN	NaN2273	99
NaN	NaN1350	22
NaN	NaN1871	31
NaN	NaN1184	30
NaN	NaN1573	16
NaN	NaN325	62
NaN	NaN2229	36
NaN	NaN1852	23
NaN	NaN0887	13
NaN	NaN2091	31
NaN	NaN1520	59
NaN	NaN1818	37
NaN	NaN2313	8
NaN	NaN0775	67
NaN	NaN1359	58
NaN	NaN0971	32
NaN	NaN2132	24
NaN	NaN2189	25
NaN	NaN1224	23
NaN	NaN0893	38
NaN	NaN0591	68
NaN	NaN1448	22
NaN	NaN0608	41
NaN	NaN1642	45
NaN	NaN0918	17
NaN	NaN0952	54
NaN	NaN1344	6
NaN	NaN1421	42
NaN	NaN2180	45
NaN	NaN0756	49
NaN	NaN1546	16
NaN	NaN180	21
NaN	NaN2089	26
NaN	NaN0927	19
NaN	NaN2246	28
NaN	NaN1477	33
NaN	NaN2080	75
NaN	NaN0668	14
NaN	NaN421	61
NaN	NaN25	13
NaN	NaN0724	31
NaN	NaN99	22
NaN	NaN1845	49
NaN	NaN447	25
NaN	NaN0728	25
NaN	NaN0664	45
NaN	NaN0831	31
NaN	NaN0869	30
NaN	NaN53	31
NaN	NaN319	32
NaN	NaN0741	21
NaN	NaN1735	51
NaN	NaN1377	19
NaN	NaN1676	12
NaN	NaN2312	13
NaN	NaN1348	24
NaN	NaN1241	36
NaN	NaN1853	55
NaN	NaN1551	49
NaN	NaN0914	51
NaN	NaN1788	112
NaN	NaN1572	16
NaN	NaN0567	61
NaN	NaN1444	36
NaN	NaN0604	53
